AnalyticsAccount	status.observedState.accountTicketID
AutoMLDataset	status.observedState.createTime
AutoMLDataset	status.observedState.etag
AutoMLDataset	status.observedState.exampleCount
BigQueryMigrationMigrationWorkflow	status.observedState.createTime
BigQueryMigrationMigrationWorkflow	status.observedState.lastUpdateTime
BigQueryMigrationMigrationWorkflow	status.observedState.name
BlockchainNodeEngineBlockchainNode	status.observedState.name
CloudBuildConnection	status.observedState.etag
ConnectorsConnection	status.observedState.name
DLPConnection	status.observedState.name
DataLabelingAnnotationSpecSet	status.observedState.blockingResources
DataLabelingAnnotationSpecSet	status.observedState.blockingResources[]
DataLabelingDataset	status.observedState.blockingResources
DataLabelingDataset	status.observedState.blockingResources[]
DataLabelingDataset	status.observedState.createTime
DataLabelingDataset	status.observedState.dataItemCount
DataLabelingDataset	status.observedState.inputConfigs
DataLabelingDataset	status.observedState.inputConfigs[]
DataLabelingDataset	status.observedState.inputConfigs[].annotationType
DataLabelingDataset	status.observedState.inputConfigs[].bigquerySource
DataLabelingDataset	status.observedState.inputConfigs[].bigquerySource.inputURI
DataLabelingDataset	status.observedState.inputConfigs[].classificationMetadata
DataLabelingDataset	status.observedState.inputConfigs[].classificationMetadata.isMultiLabel
DataLabelingDataset	status.observedState.inputConfigs[].dataType
DataLabelingDataset	status.observedState.inputConfigs[].gcsSource
DataLabelingDataset	status.observedState.inputConfigs[].gcsSource.inputURI
DataLabelingDataset	status.observedState.inputConfigs[].gcsSource.mimeType
DataLabelingDataset	status.observedState.inputConfigs[].textMetadata
DataLabelingDataset	status.observedState.inputConfigs[].textMetadata.languageCode
DataLabelingEvaluationJob	status.observedState.attempts
DataLabelingEvaluationJob	status.observedState.attempts[]
DataLabelingEvaluationJob	status.observedState.attempts[].attemptTime
DataLabelingEvaluationJob	status.observedState.attempts[].partialFailures
DataLabelingEvaluationJob	status.observedState.attempts[].partialFailures[]
DataLabelingEvaluationJob	status.observedState.attempts[].partialFailures[].code
DataLabelingEvaluationJob	status.observedState.attempts[].partialFailures[].message
DataLabelingEvaluationJob	status.observedState.createTime
DataLabelingEvaluationJob	status.observedState.state
DataLabelingInstruction	status.observedState.blockingResources
DataLabelingInstruction	status.observedState.blockingResources[]
DataLabelingInstruction	status.observedState.createTime
DataLabelingInstruction	status.observedState.updateTime
DatabaseMigrationMigrationJob	status.observedState.state
DataplexAspectType	status.observedState.etag
DataplexEntryType	status.observedState.etag
DevConnectInsightsConfig	status.observedState.state
DialogflowKnowledgeBase	status.observedState.name
DocumentAIProcessor	status.observedState.defaultProcessorVersion
DocumentAIProcessor	status.observedState.name
GrafeasNote	status.observedState.createTime
GrafeasNote	status.observedState.kind
GrafeasNote	status.observedState.updateTime
RunWorkerPool	status.observedState.customAudiences
RunWorkerPool	status.observedState.customAudiences[]
RunWorkerPool	status.observedState.observedConditions
RunWorkerPool	status.observedState.observedConditions[]
RunWorkerPool	status.observedState.observedConditions[].executionReason
RunWorkerPool	status.observedState.observedConditions[].lastTransitionTime
RunWorkerPool	status.observedState.observedConditions[].message
RunWorkerPool	status.observedState.observedConditions[].reason
RunWorkerPool	status.observedState.observedConditions[].revisionReason
RunWorkerPool	status.observedState.observedConditions[].severity
RunWorkerPool	status.observedState.observedConditions[].state
RunWorkerPool	status.observedState.observedConditions[].type
RunWorkerPool	status.observedState.template.revision
TPUVirtualMachine	status.observedState.health
TasksQueue	status.observedState.purgeTime
TasksQueue	status.observedState.state
WorkflowsWorkflow	status.observedState.revisionId
