ApigeeRegistryInstance	spec.config.cmekKeyName
AppOptimizeReport	spec.scopes[].application
AppOptimizeReport	spec.scopes[].project
AssuredWorkloadsWorkload	spec.billingAccount
BackupDRManagementServer	spec.networks[].network
BigQueryDataPolicy	spec.policyTag
CertificateManagerCertificateIssuanceConfig	spec.certificateAuthorityConfig.certificateAuthorityServiceConfig.caPool
CloudBuildConnection	spec.bitbucketCloudConfig.authorizerCredential.userTokenSecretVersion
CloudBuildConnection	spec.bitbucketCloudConfig.readAuthorizerCredential.userTokenSecretVersion
CloudBuildConnection	spec.bitbucketCloudConfig.webhookSecretSecretVersion
CloudBuildConnection	spec.bitbucketDataCenterConfig.authorizerCredential.userTokenSecretVersion
CloudBuildConnection	spec.bitbucketDataCenterConfig.readAuthorizerCredential.userTokenSecretVersion
CloudBuildConnection	spec.bitbucketDataCenterConfig.serviceDirectoryConfig.service
CloudBuildConnection	spec.bitbucketDataCenterConfig.webhookSecretSecretVersion
CloudBuildConnection	spec.githubConfig.authorizerCredential.oauthTokenSecretVersion
CloudBuildConnection	spec.githubEnterpriseConfig.privateKeySecretVersion
CloudBuildConnection	spec.githubEnterpriseConfig.serviceDirectoryConfig.service
CloudBuildConnection	spec.githubEnterpriseConfig.webhookSecretSecretVersion
CloudBuildConnection	spec.gitlabConfig.authorizerCredential.userTokenSecretVersion
CloudBuildConnection	spec.gitlabConfig.readAuthorizerCredential.userTokenSecretVersion
CloudBuildConnection	spec.gitlabConfig.serviceDirectoryConfig.service
CloudBuildConnection	spec.gitlabConfig.webhookSecretSecretVersion
CloudDMSMigrationJob	spec.cmekKeyName
CloudDMSMigrationJob	spec.destination
CloudDMSMigrationJob	spec.reverseSSHConnectivity.vm
CloudDMSMigrationJob	spec.reverseSSHConnectivity.vpc
CloudDMSMigrationJob	spec.source
CloudDMSMigrationJob	spec.vpcPeeringConnectivity.vpc
CloudDMSPrivateConnection	spec.vpcPeeringConfig.vpcName
ConfigDeliveryFleetPackage	spec.resourceBundleSelector.cloudBuildRepository.serviceAccount
ConfigDeliveryFleetPackage	spec.target.fleet.project
ConfigDeploymentGroup	spec.deploymentUnits[].deployment
ConnectorsConnection	spec.authConfig.additionalVariables[].secretValue
