AnalyticsAccount	status.observedState.accountTicketID
AutoMLDataset	status.observedState.createTime
AutoMLDataset	status.observedState.etag
AutoMLDataset	status.observedState.exampleCount
BatchJob	status.observedState.name
BigQueryMigrationMigrationWorkflow	status.observedState.createTime
BigQueryMigrationMigrationWorkflow	status.observedState.lastUpdateTime
BigQueryMigrationMigrationWorkflow	status.observedState.name
BlockchainNodeEngineBlockchainNode	status.observedState.name
CloudBatchResourceAllowance	status.observedState.usageResourceAllowance.status.report.latestPeriodConsumptions.KEY
CloudBatchResourceAllowance	status.observedState.usageResourceAllowance.status.report.latestPeriodConsumptions.KEY.consumed
CloudBatchResourceAllowance	status.observedState.usageResourceAllowance.status.report.latestPeriodConsumptions.KEY.consumptionInterval
CloudBatchResourceAllowance	status.observedState.usageResourceAllowance.status.report.latestPeriodConsumptions.KEY.consumptionInterval.endTime
CloudBatchResourceAllowance	status.observedState.usageResourceAllowance.status.report.latestPeriodConsumptions.KEY.consumptionInterval.startTime
CloudBuildConnection	status.observedState.etag
CloudDeployAutomation	status.observedState.etag
CloudDeployDeployPolicy	status.observedState.name
CloudDeployTarget	status.observedState.etag
CloudSecurityFramework	status.observedState.supportedEnforcementModes
CloudSecurityFramework	status.observedState.supportedEnforcementModes[]
ComputeFutureReservation	status.observedState.aggregateReservation
ComputeFutureReservation	status.observedState.aggregateReservation.inUseResources
ComputeFutureReservation	status.observedState.aggregateReservation.inUseResources[]
ComputeFutureReservation	status.observedState.aggregateReservation.inUseResources[].accelerator
ComputeFutureReservation	status.observedState.aggregateReservation.inUseResources[].accelerator.acceleratorCount
ComputeFutureReservation	status.observedState.aggregateReservation.inUseResources[].accelerator.acceleratorType
ComputeFutureReservation	status.observedState.creationTimestamp
ComputeFutureReservation	status.observedState.id
ComputeFutureReservation	status.observedState.kind
ComputeFutureReservation	status.observedState.selfLink
ComputeFutureReservation	status.observedState.selfLinkWithID
ComputeFutureReservation	status.observedState.status
ComputeFutureReservation	status.observedState.status.amendmentStatus
ComputeFutureReservation	status.observedState.status.autoCreatedReservations
ComputeFutureReservation	status.observedState.status.autoCreatedReservations[]
ComputeFutureReservation	status.observedState.status.existingMatchingUsageInfo
ComputeFutureReservation	status.observedState.status.existingMatchingUsageInfo.count
ComputeFutureReservation	status.observedState.status.existingMatchingUsageInfo.timestamp
ComputeFutureReservation	status.observedState.status.fulfilledCount
ComputeFutureReservation	status.observedState.status.lastKnownGoodState
ComputeFutureReservation	status.observedState.status.lastKnownGoodState.description
ComputeFutureReservation	status.observedState.status.lastKnownGoodState.existingMatchingUsageInfo
ComputeFutureReservation	status.observedState.status.lastKnownGoodState.existingMatchingUsageInfo.count
ComputeFutureReservation	status.observedState.status.lastKnownGoodState.existingMatchingUsageInfo.timestamp
ComputeFutureReservation	status.observedState.status.lastKnownGoodState.futureReservationSpecs
ComputeFutureReservation	status.observedState.status.lastKnownGoodState.futureReservationSpecs.shareSettings
ComputeFutureReservation	status.observedState.status.lastKnownGoodState.futureReservationSpecs.shareSettings.projectMap
ComputeFutureReservation	status.observedState.status.lastKnownGoodState.futureReservationSpecs.shareSettings.projectMap.KEY
ComputeFutureReservation	status.observedState.status.lastKnownGoodState.futureReservationSpecs.shareSettings.projectMap.KEY.projectID
ComputeFutureReservation	status.observedState.status.lastKnownGoodState.futureReservationSpecs.shareSettings.shareType
ComputeFutureReservation	status.observedState.status.lastKnownGoodState.futureReservationSpecs.specificSkuProperties
ComputeFutureReservation	status.observedState.status.lastKnownGoodState.futureReservationSpecs.specificSkuProperties.instanceProperties
ComputeFutureReservation	status.observedState.status.lastKnownGoodState.futureReservationSpecs.specificSkuProperties.instanceProperties.guestAccelerators
ComputeFutureReservation	status.observedState.status.lastKnownGoodState.futureReservationSpecs.specificSkuProperties.instanceProperties.guestAccelerators[]
ComputeFutureReservation	status.observedState.status.lastKnownGoodState.futureReservationSpecs.specificSkuProperties.instanceProperties.guestAccelerators[].acceleratorCount
ComputeFutureReservation	status.observedState.status.lastKnownGoodState.futureReservationSpecs.specificSkuProperties.instanceProperties.guestAccelerators[].acceleratorType
ComputeFutureReservation	status.observedState.status.lastKnownGoodState.futureReservationSpecs.specificSkuProperties.instanceProperties.localSsds
ComputeFutureReservation	status.observedState.status.lastKnownGoodState.futureReservationSpecs.specificSkuProperties.instanceProperties.localSsds[]
ComputeFutureReservation	status.observedState.status.lastKnownGoodState.futureReservationSpecs.specificSkuProperties.instanceProperties.localSsds[].diskSizeGB
ComputeFutureReservation	status.observedState.status.lastKnownGoodState.futureReservationSpecs.specificSkuProperties.instanceProperties.localSsds[].interface
ComputeFutureReservation	status.observedState.status.lastKnownGoodState.futureReservationSpecs.specificSkuProperties.instanceProperties.locationHint
ComputeFutureReservation	status.observedState.status.lastKnownGoodState.futureReservationSpecs.specificSkuProperties.instanceProperties.machineType
ComputeFutureReservation	status.observedState.status.lastKnownGoodState.futureReservationSpecs.specificSkuProperties.instanceProperties.minCPUPlatform
ComputeFutureReservation	status.observedState.status.lastKnownGoodState.futureReservationSpecs.specificSkuProperties.sourceInstanceTemplate
ComputeFutureReservation	status.observedState.status.lastKnownGoodState.futureReservationSpecs.specificSkuProperties.totalCount
ComputeFutureReservation	status.observedState.status.lastKnownGoodState.futureReservationSpecs.timeWindow
ComputeFutureReservation	status.observedState.status.lastKnownGoodState.futureReservationSpecs.timeWindow.duration
ComputeFutureReservation	status.observedState.status.lastKnownGoodState.futureReservationSpecs.timeWindow.duration.nanos
ComputeFutureReservation	status.observedState.status.lastKnownGoodState.futureReservationSpecs.timeWindow.duration.seconds
ComputeFutureReservation	status.observedState.status.lastKnownGoodState.futureReservationSpecs.timeWindow.endTime
ComputeFutureReservation	status.observedState.status.lastKnownGoodState.futureReservationSpecs.timeWindow.startTime
ComputeFutureReservation	status.observedState.status.lastKnownGoodState.lockTime
ComputeFutureReservation	status.observedState.status.lastKnownGoodState.namePrefix
ComputeFutureReservation	status.observedState.status.lastKnownGoodState.procurementStatus
ComputeFutureReservation	status.observedState.status.lockTime
ComputeFutureReservation	status.observedState.status.procurementStatus
ComputeFutureReservation	status.observedState.status.specificSkuProperties
ComputeFutureReservation	status.observedState.status.specificSkuProperties.sourceInstanceTemplateID
ComputeFutureReservation	status.observedState.zone
ComputeInterconnect	status.observedState.availableFeatures
ComputeInterconnect	status.observedState.availableFeatures[]
ComputeInterconnect	status.observedState.circuitInfos
ComputeInterconnect	status.observedState.circuitInfos[]
ComputeInterconnect	status.observedState.circuitInfos[].customerDemarcID
ComputeInterconnect	status.observedState.circuitInfos[].googleCircuitID
ComputeInterconnect	status.observedState.circuitInfos[].googleDemarcID
ComputeInterconnect	status.observedState.creationTimestamp
ComputeInterconnect	status.observedState.expectedOutages
ComputeInterconnect	status.observedState.expectedOutages[]
ComputeInterconnect	status.observedState.expectedOutages[].affectedCircuits
ComputeInterconnect	status.observedState.expectedOutages[].affectedCircuits[]
ComputeInterconnect	status.observedState.expectedOutages[].description
ComputeInterconnect	status.observedState.expectedOutages[].endTime
ComputeInterconnect	status.observedState.expectedOutages[].issueType
ComputeInterconnect	status.observedState.expectedOutages[].name
ComputeInterconnect	status.observedState.expectedOutages[].source
ComputeInterconnect	status.observedState.expectedOutages[].startTime
ComputeInterconnect	status.observedState.expectedOutages[].state
ComputeInterconnect	status.observedState.googleIPAddress
ComputeInterconnect	status.observedState.googleReferenceID
ComputeInterconnect	status.observedState.id
ComputeInterconnect	status.observedState.interconnectAttachments
ComputeInterconnect	status.observedState.interconnectAttachments[]
ComputeInterconnect	status.observedState.kind
ComputeInterconnect	status.observedState.operationalStatus
ComputeInterconnect	status.observedState.peerIPAddress
ComputeInterconnect	status.observedState.provisionedLinkCount
ComputeInterconnect	status.observedState.satisfiesPzs
ComputeInterconnect	status.observedState.selfLink
ComputeInterconnect	status.observedState.state
ComputeNetworkAttachment	status.observedState.connectionEndpoints
ComputeNetworkAttachment	status.observedState.connectionEndpoints[]
ComputeNetworkAttachment	status.observedState.connectionEndpoints[].ipAddress
ComputeNetworkAttachment	status.observedState.connectionEndpoints[].ipv6Address
ComputeNetworkAttachment	status.observedState.connectionEndpoints[].projectIDOrNum
ComputeNetworkAttachment	status.observedState.connectionEndpoints[].secondaryIPCIDRRanges
ComputeNetworkAttachment	status.observedState.connectionEndpoints[].secondaryIPCIDRRanges[]
ComputeNetworkAttachment	status.observedState.connectionEndpoints[].status
ComputeNetworkAttachment	status.observedState.connectionEndpoints[].subnetwork
ComputeNetworkAttachment	status.observedState.connectionEndpoints[].subnetworkCIDRRange
ComputeNetworkAttachment	status.observedState.creationTimestamp
ComputeNetworkAttachment	status.observedState.id
ComputeNetworkAttachment	status.observedState.kind
ComputeNetworkAttachment	status.observedState.network
ComputeNetworkAttachment	status.observedState.region
ComputeNetworkAttachment	status.observedState.selfLink
ComputeNetworkAttachment	status.observedState.selfLinkWithID
ComputeNetworkEdgeSecurityService	status.observedState.creationTimestamp
ComputeNetworkEdgeSecurityService	status.observedState.id
ComputeNetworkEdgeSecurityService	status.observedState.kind
ComputeNetworkEdgeSecurityService	status.observedState.region
ComputeNetworkEdgeSecurityService	status.observedState.selfLink
ComputeNetworkEdgeSecurityService	status.observedState.selfLinkWithID
ConnectorsConnection	status.observedState.name
DLPConnection	status.observedState.name
DataCatalogEntry	status.observedState.linkedResource
DataCatalogTagTemplate	status.observedState.dataplexTransferStatus
DataLabelingAnnotationSpecSet	status.observedState.blockingResources
DataLabelingAnnotationSpecSet	status.observedState.blockingResources[]
